,symptoms,prognosa
0,Saya tidak merasakan penambahan berat badan. Saya mengalami ruam kulit sesekali. Saya tidak merasakan adanya bisul di lidah. Tidak ada dehidrasi. Sering bermasalah dengan erupsi kulit nodal. Kasus gatal ringan. Sering bermasalah dengan patch diskromik.,0
1,Saya mengalami patch diskromik dalam beberapa hari terakhir. ruam kulit. Tidak ada mata cekung. Sering bermasalah dengan erupsi kulit nodal. Tidak ada demam tinggi. Tidak ada kecemasan.,0
2,"Saya tidak merasakan batuk. Sering bermasalah dengan gatal. Saya tidak merasakan adanya kecemasan. Saya mengalami patch diskromik. Tidak ada berkeringat. Sesekali, erupsi kulit nodal saya rasakan.",0
3,"Sesekali, ruam kulit saya rasakan. Tidak ada keasaman. Saya menemukan tanda-tanda gatal. Saya tidak merasakan adanya gemetaran. Kasus patch diskromik ringan. Saya tidak merasakan adanya nyeri sendi.",0
4,Saya tidak merasakan adanya demam ringan. Saya tidak merasakan adanya urin gelap. Saya mengalami ruam kulit dalam beberapa hari terakhir. erupsi kulit nodal. Kasus gatal ringan. Tidak ada kadar gula tidak teratur.,0
5,"ruam kulit. Saya tidak merasakan kelesuan. Saya mengalami patch diskromik. Saya tidak merasakan batuk. Saya tidak merasakan sembelit. Sesekali, erupsi kulit nodal saya rasakan.",0
6,Saya menemukan tanda-tanda gatal. Saya tidak merasakan panas dingin. Kasus patch diskromik ringan. Saya mengalami erupsi kulit nodal. Saya tidak merasakan buang air kecil bercak. Saya tidak merasakan penurunan berat badan.,0
7,"Saya mengalami ruam kulit dalam beberapa hari terakhir. Sesekali, gatal saya rasakan. Tidak ada nyeri dada. Saya tidak merasakan keasaman. Saya mengalami patch diskromik. Tidak ada buang air kecil yang terbakar.",0
8,"Sering bermasalah dengan erupsi kulit nodal. Tidak ada buang air kecil bercak. Saya menemukan tanda-tanda ruam kulit. Sesekali, gatal saya rasakan. Saya tidak merasakan adanya kulit kekuningan. Saya tidak merasakan berkeringat.",0
9,"Saya tidak merasakan adanya panas dingin. Saya mengalami gatal dalam beberapa hari terakhir. Sesekali, ruam kulit saya rasakan. Saya mengalami patch diskromik dalam beberapa hari terakhir. Saya tidak merasakan adanya keasaman. erupsi kulit nodal. Saya tidak merasakan adanya penambahan berat badan.",0
10,Kasus berair dari mata ringan. Saya mengalami panas dingin sesekali. Saya tidak merasakan adanya sakit perut. Tidak ada buang air kecil bercak. Saya mengalami bersin terus menerus. prognosa. Tidak ada bisul di lidah. Sering bermasalah dengan gemetaran.,1
11,Saya tidak merasakan muntah. Saya mengalami gemetaran. Saya tidak merasakan adanya erupsi kulit nodal. Saya mengalami panas dingin sesekali. Kasus prognosa ringan. Saya tidak merasakan adanya bersin terus menerus. Saya mengalami berair dari mata sesekali.,1
12,Saya mengalami prognosa sesekali. Tidak ada sakit perut. panas dingin. Tidak ada kadar gula tidak teratur. Saya mengalami berair dari mata. Saya tidak merasakan adanya kegelisahan. Saya mengalami bersin terus menerus dalam beberapa hari terakhir.,1
13,Saya mengalami berair dari mata sesekali. Saya menemukan tanda-tanda bersin terus menerus. prognosa. Saya tidak merasakan adanya nyeri sendi. Tidak ada kelelahan. Saya mengalami gemetaran. Saya tidak merasakan adanya diare.,1
14,"Sesekali, prognosa saya rasakan. Saya mengalami gemetaran. Saya tidak merasakan adanya demam tinggi. Tidak ada muntah. Tidak ada sesak napas. Sering bermasalah dengan bersin terus menerus. panas dingin.",1
15,Tidak ada dehidrasi. Saya mengalami prognosa sesekali. Saya mengalami berair dari mata sesekali. Saya tidak merasakan adanya demam tinggi. Saya mengalami gemetaran sesekali. Tidak ada pemborosan otot. Kasus panas dingin ringan.,1
16,Saya mengalami berair dari mata dalam beberapa hari terakhir. Saya tidak merasakan erupsi kulit nodal. Saya menemukan tanda-tanda bersin terus menerus. Tidak ada sakit perut. Saya menemukan tanda-tanda panas dingin. Saya mengalami prognosa. Tidak ada sembelit.,1
17,Saya tidak merasakan kelelahan. prognosa. Kasus berair dari mata ringan. Saya menemukan tanda-tanda gemetaran. Saya tidak merasakan pemborosan otot. Kasus bersin terus menerus ringan. Saya tidak merasakan mata cekung.,1
18,Saya tidak merasakan adanya pemborosan otot. Tidak ada mual. Sering bermasalah dengan bersin terus menerus. gemetaran. Saya menemukan tanda-tanda panas dingin. Saya tidak merasakan adanya kulit kekuningan. Saya mengalami prognosa sesekali.,1
19,Kasus panas dingin ringan. Saya tidak merasakan adanya pemborosan otot. Saya tidak merasakan bisul di lidah. Saya mengalami prognosa. bersin terus menerus. Sering bermasalah dengan gemetaran. Saya tidak merasakan adanya sembelit. Saya mengalami berair dari mata dalam beberapa hari terakhir.,1
20,"Sering bermasalah dengan sakit perut. Sesekali, bisul di lidah saya rasakan. Sesekali, muntah saya rasakan. Saya tidak merasakan adanya kulit kekuningan. Sesekali, batuk saya rasakan. nyeri dada. Saya tidak merasakan adanya gangguan pencernaan. Saya mengalami keasaman. Saya tidak merasakan adanya kecemasan.",2
21,"Sesekali, sakit perut saya rasakan. Kasus batuk ringan. Saya tidak merasakan adanya kehilangan selera makan. Kasus bisul di lidah ringan. Saya mengalami nyeri dada dalam beberapa hari terakhir. Tidak ada demam tinggi. Saya tidak merasakan adanya urin gelap. Kasus muntah ringan.",2
22,"Saya mengalami batuk dalam beberapa hari terakhir. Kasus muntah ringan. Saya tidak merasakan penglihatan kabur dan terdistorsi. Sering bermasalah dengan nyeri dada. Tidak ada kulit kekuningan. Saya mengalami keasaman. Tidak ada kadar gula tidak teratur. Sesekali, sakit perut saya rasakan.",2
23,"Kasus sakit perut ringan. Sering bermasalah dengan nyeri dada. Saya menemukan tanda-tanda keasaman. bisul di lidah. Saya tidak merasakan adanya tangan dan kaki dingin. Saya tidak merasakan kecemasan. Sesekali, batuk saya rasakan. Tidak ada kadar gula tidak teratur.",2
24,muntah. Saya menemukan tanda-tanda sakit perut. Kasus keasaman ringan. Saya mengalami nyeri dada. Saya tidak merasakan urin gelap. Saya tidak merasakan dehidrasi. Saya mengalami bisul di lidah. Tidak ada penambahan berat badan.,2
25,Saya mengalami bisul di lidah. Saya mengalami keasaman dalam beberapa hari terakhir. Saya tidak merasakan adanya berair dari mata. Saya tidak merasakan sakit lutut. Saya mengalami muntah. Saya tidak merasakan detak jantung cepat. Saya mengalami batuk sesekali. Saya mengalami sakit perut sesekali.,2
26,Saya mengalami keasaman. Tidak ada gemetaran. Sering bermasalah dengan batuk. Kasus nyeri dada ringan. Saya menemukan tanda-tanda muntah. Saya mengalami bisul di lidah sesekali. Saya tidak merasakan sakit perut. Saya tidak merasakan demam tinggi.,2
