indeks;label;text
0; Psoriasis; Saya telah mengalami ruam kulit di lengan, kaki, dan dada saya selama beberapa minggu terakhir. Warnanya merah, gatal, dan tertutup bercak kering bersisik.
1; Psoriasis; Kulit saya mengelupas, terutama di lutut, siku, dan kulit kepala. Pengelupasan ini sering disertai dengan sensasi terbakar atau menyengat.
2; Psoriasis; Saya telah mengalami nyeri sendi di jari, pergelangan tangan, dan lutut. Sakitnya sering pegal dan berdenyut, dan semakin parah saat saya menggerakkan persendian.
3; Psoriasis; Ada debu seperti perak di kulit saya, terutama di punggung bawah dan kulit kepala. Debu ini terdiri dari sisik-sisik kecil yang mudah mengelupas saat saya menggaruknya.
4; Psoriasis; Kuku saya memiliki penyok atau lubang kecil di dalamnya, dan sering terasa meradang dan lunak saat disentuh. Bahkan ada ruam kecil di lengan saya.
5; Psoriasis; Kulit di telapak tangan dan kaki saya menebal dan retakan yang dalam. Retakan ini menyakitkan dan mudah berdarah.
6; Psoriasis;Kulit di sekitar mulut, hidung, dan mata saya merah dan meradang. Seringkali terasa gatal dan tidak nyaman. Ada peradangan yang terlihat di kuku saya.
7; Psoriasis; Kulit saya sangat sensitif dan mudah bereaksi terhadap perubahan suhu atau kelembapan. Saya sering harus berhati-hati tentang produk apa yang saya gunakan pada kulit saya.
8; Psoriasis; Saya melihat kulit tiba-tiba mengelupas di berbagai bagian tubuh saya, terutama lengan, kaki, dan punggung. Juga, saya menghadapi nyeri sendi yang parah dan ruam kulit.
9; Psoriasis; Kulit di kemaluan saya merah dan meradang. Seringkali gatal, terbakar, dan tidak nyaman. Ada juga ruam di berbagai bagian tubuh.
10; Psoriasis; Saya telah mengalami kelelahan dan perasaan tidak enak secara umum. Saya sering merasa lelah dan kurang energi, bahkan setelah tidur malam yang nyenyak.
11; Psoriasis; Ruam di kulit saya sudah menyebar ke bagian tubuh lain, termasuk dada dan perut. Gatal dan tidak nyaman, dan seringkali lebih buruk di malam hari. Saya juga menghadapi pengelupasan kulit.
12; Psoriasis;Ruam di kulit saya semakin parah di bulan-bulan musim dingin ketika udaranya kering. Saya menemukan bahwa saya harus lebih sering melembabkan dan menggunakan pelembap untuk menjaga kulit saya tetap terhidrasi.
13; Psoriasis; Saya pernah mengalami sulit tidur karena gatal dan tidak nyaman akibat ruam. Ada penyok kecil di kuku saya, yang sangat memprihatinkan.
14; Psoriasis; Kulit saya rentan terhadap infeksi karena bercak kering dan terkelupas. Saya mengalami rasa sakit yang kuat di persendian saya. Kulit lutut dan siku saya mulai terkelupas.
15; Psoriasis; Saya mulai mengalami ruam di kulit saya. Ruam tersebut sering mengeluarkan darah jika saya garuk atau gosok. Selain itu, saya memperhatikan penyok kecil di kuku saya.
16; Psoriasis; Saya perhatikan bahwa kulit saya menjadi lebih sensitif dari sebelumnya. Ada debu seperti perak di kulit saya, terutama di punggung dan siku.
17; Psoriasis; Saya khawatir tentang pengelupasan kulit yang terus-menerus di telapak tangan, siku, dan lutut saya. Saya telah mengembangkan ruam di lengan saya, yang gatal jika saya menyentuhnya. Semua ini membuat hidup saya sangat tidak nyaman dan sengsara.
18; Psoriasis;Ada rasa sakit yang aneh di persendian saya. Juga, saya memperhatikan pengelupasan kulit yang aneh di berbagai bagian tubuh saya. Saya takut ada yang salah dengan tubuh saya.
19; Psoriasis; Kuku saya memiliki penyok kecil pada mereka. Bahkan persendian saya sudah mulai sakit parah. Ada debu seperti perak di kulitku, terutama di punggungku.
20; Psoriasis; Ruam di kulit saya tidak kunjung sembuh. Selain itu, saya melihat kulit tiba-tiba mengelupas, terutama kulit di siku dan lutut. Saya sangat khawatir tentang ini.
21; Psoriasis; Selama beberapa minggu terakhir, saya mengalami ruam kulit di lengan, kaki, dan dada. Warnanya merah dan menjengkelkan, dengan bintik-bintik kering dan bersisik. Saya juga merasakan sakit yang aneh di persendian saya.
22; Psoriasis; Kulit saya mengelupas, terutama di lutut, siku, dan kulit kepala. Pengelupasan ini sering disertai dengan rasa perih atau terbakar.
23; Psoriasis; Saya mengalami ketidaknyamanan sendi di jari, pergelangan tangan, dan lutut saya. Rasa sakitnya sering terasa sakit dan berdenyut, dan semakin parah saat saya menggerakkan persendian.
24; Psoriasis;Kulit saya memiliki lapisan keperakan, terutama di punggung, lengan, dan kulit kepala. Debu ini terdiri dari sisik-sisik kecil yang mudah terkelupas saat tergores.
25; Psoriasis; Saya memiliki kulit merah dan meradang di sekitar mulut, hidung, dan mata saya. Hal ini sering menjengkelkan dan tidak menyenangkan. Baru-baru ini, itu menjadi sangat menyakitkan.
26; Psoriasis; Kulit saya sangat sensitif dan cepat teriritasi oleh perubahan suhu atau kelembapan. Kuku saya mengalami penyok. Saya khawatir dengan perubahan mendadak ini.
